seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	102222474	102222623	150	*	X028348	7479	102222812	102243399	20588	+	188	upstream	188	WNT8B
chr10	102503605	102503799	195	*	X028460	5076	102505468	102589698	84231	+	1668	upstream	1668	PAX2
chr10	102503950	102504159	210	*	X028461	5076	102505468	102589698	84231	+	1308	upstream	1308	PAX2
chr10	102504304	102504498	195	*	X028462	5076	102505468	102589698	84231	+	969	upstream	969	PAX2
chr10	102504610	102504774	165	*	X028463	5076	102505468	102589698	84231	+	693	upstream	693	PAX2
chr10	102789096	102789245	150	*	X028566	81855	102790996	102800998	10003	+	1750	upstream	1750	SFXN3
chr10	102789441	102789561	121	*	X028567	81855	102790996	102800998	10003	+	1434	upstream	1434	SFXN3
chr10	102890852	102890986	135	*	X028613	3195	102891061	102897546	6486	+	74	upstream	74	TLX1
chr10	102890852	102890986	135	*	X028613	100038246	102849078	102890903	41826	-	0	overlapStart	0	TLX1NB
chr10	102891032	102891256	225	*	X028614	3195	102891061	102897546	6486	+	0	overlapStart	0	TLX1
chr10	102891032	102891256	225	*	X028614	100038246	102849078	102890903	41826	-	128	upstream	128	TLX1NB
chr10	102891469	102891588	120	*	X028615	100038246	102849078	102890903	41826	-	565	upstream	565	TLX1NB
chr10	102891632	102892141	510	*	X028616	100038246	102849078	102890903	41826	-	728	upstream	728	TLX1NB
chr10	102987484	102987648	165	*	X028683	399806	102989351	102998616	9266	+	1702	upstream	1702	LBX1-AS1
chr10	102987754	102988083	330	*	X028684	399806	102989351	102998616	9266	+	1267	upstream	1267	LBX1-AS1
chr10	102988639	102988923	285	*	X028685	399806	102989351	102998616	9266	+	427	upstream	427	LBX1-AS1
chr10	102988639	102988923	285	*	X028685	10660	102986733	102988717	1985	-	0	overlapStart	0	LBX1
chr10	102989014	102989208	195	*	X028686	399806	102989351	102998616	9266	+	142	upstream	142	LBX1-AS1
chr10	102989014	102989208	195	*	X028686	10660	102986733	102988717	1985	-	296	upstream	296	LBX1
chr10	102989224	102989568	345	*	X028687	399806	102989351	102998616	9266	+	0	overlapStart	0	LBX1-AS1
chr10	102989224	102989568	345	*	X028687	10660	102986733	102988717	1985	-	506	upstream	506	LBX1
chr10	102989734	102989898	165	*	X028688	10660	102986733	102988717	1985	-	1016	upstream	1016	LBX1
chr10	102990139	102990278	140	*	X028689	10660	102986733	102988717	1985	-	1421	upstream	1421	LBX1
chr10	102990514	102990753	240	*	X028690	10660	102986733	102988717	1985	-	1796	upstream	1796	LBX1
chr10	105252021	105252159	139	*	X028800	9148	105253735	105352309	98575	+	1575	upstream	1575	NEURL1
chr10	105252745	105252879	135	*	X028801	9148	105253735	105352309	98575	+	855	upstream	855	NEURL1
chr10	105254024	105254169	146	*	X028802	9148	105253735	105352309	98575	+	0	inside	288	NEURL1
chr10	105505334	105505723	390	*	X028872	100505839	105506537	105515167	8631	+	813	upstream	813	SH3PXD2A-AS1
chr10	105506384	105506653	270	*	X028873	100505839	105506537	105515167	8631	+	0	overlapStart	0	SH3PXD2A-AS1
chr10	105614408	105615138	731	*	X028929	9644	105348285	105615164	266880	-	0	inside	25	SH3PXD2A
chr10	105615805	105615863	59	*	X028930	9644	105348285	105615164	266880	-	640	upstream	640	SH3PXD2A
chr10	105616059	105616283	225	*	X028931	9644	105348285	105615164	266880	-	894	upstream	894	SH3PXD2A
chr10	105807766	105807885	120	*	X028944	100126326	105807847	105807944	98	-	0	overlapEnd	58	MIR936
chr10	106398984	106399217	234	*	X028971	22986	106400859	107024993	624135	+	1641	upstream	1641	SORCS3
chr10	108924065	108924229	165	*	X028973	114815	108333421	108924466	591046	-	0	inside	236	SORCS1
chr10	108924335	108924703	369	*	X028974	114815	108333421	108924466	591046	-	0	overlapStart	0	SORCS1
chr10	115438715	115438861	147	*	X029137	840	115438921	115490668	51748	+	59	upstream	59	CASP7
chr10	115803132	115803159	28	*	X029156	153	115803806	115806667	2862	+	646	upstream	646	ADRB1
chr10	115999142	115999456	315	*	X029169	340706	115999013	116054259	55247	+	0	inside	128	VWA2
chr10	116164215	116164454	240	*	X029203	84632	116054583	116164515	109933	-	0	inside	60	AFAP1L2
chr10	116164791	116164872	82	*	X029204	84632	116054583	116164515	109933	-	275	upstream	275	AFAP1L2
chr10	118033082	118033231	150	*	X029223	2674	117816442	118033126	216685	-	0	overlapStart	0	GFRA1
chr10	118033307	118033501	195	*	X029224	2674	117816442	118033126	216685	-	180	upstream	180	GFRA1
chr10	118033517	118033525	9	*	X029225	2674	117816442	118033126	216685	-	390	upstream	390	GFRA1
chr10	118608170	118608334	165	*	X029288	387712	118609023	118642112	33090	+	688	upstream	688	ENO4
chr10	118608455	118608604	150	*	X029289	387712	118609023	118642112	33090	+	418	upstream	418	ENO4
chr10	118608621	118608770	150	*	X029290	387712	118609023	118642112	33090	+	252	upstream	252	ENO4
chr10	118609294	118609309	16	*	X029291	387712	118609023	118642112	33090	+	0	inside	270	ENO4
chr10	118609401	118609550	150	*	X029292	259217	118430703	118609716	179014	-	0	inside	165	HSPA12A
chr10	118609670	118609774	105	*	X029293	259217	118430703	118609716	179014	-	0	overlapStart	0	HSPA12A
chr10	118611140	118611474	335	*	X029294	259217	118430703	118609716	179014	-	1423	upstream	1423	HSPA12A
chr10	118885898	118886226	329	*	X029299	57698	118615739	118886097	270359	-	0	overlapStart	0	SHTN1
chr10	118886573	118886707	135	*	X029300	57698	118615739	118886097	270359	-	475	upstream	475	SHTN1
chr10	118897615	118897749	135	*	X029317	11023	118888032	118897812	9781	-	0	inside	62	VAX1
chr10	118898469	118898529	61	*	X029318	11023	118888032	118897812	9781	-	656	upstream	656	VAX1
chr10	118898813	118898917	105	*	X029319	11023	118888032	118897812	9781	-	1000	upstream	1000	VAX1
chr10	118899406	118899442	37	*	X029320	11023	118888032	118897812	9781	-	1593	upstream	1593	VAX1
chr10	118898980	118899011	32	*	X029321	11023	118888032	118897812	9781	-	1167	upstream	1167	VAX1
chr10	118899670	118899819	150	*	X029322	11023	118888032	118897812	9781	-	1857	upstream	1857	VAX1
chr10	118927355	118927474	120	*	X029335	100500893	118927189	118927285	97	-	69	upstream	69	MIR3663
chr10	118927525	118927644	120	*	X029336	100500893	118927189	118927285	97	-	239	upstream	239	MIR3663
chr10	118927715	118927731	17	*	X029337	100500893	118927189	118927285	97	-	429	upstream	429	MIR3663
chr10	118928990	118928996	7	*	X029338	100500893	118927189	118927285	97	-	1704	upstream	1704	MIR3663
chr10	118999420	118999501	82	*	X029359	6571	119000584	119038941	38358	+	1082	upstream	1082	SLC18A2
chr10	119300308	119300442	135	*	X029415	2018	119301956	119309057	7102	+	1513	upstream	1513	EMX2
chr10	119301433	119301582	150	*	X029416	2018	119301956	119309057	7102	+	373	upstream	373	EMX2
chr10	119301733	119302062	330	*	X029417	2018	119301956	119309057	7102	+	0	overlapStart	0	EMX2
chr10	119305285	119305404	120	*	X029422	196047	119243804	119304579	60776	-	705	upstream	705	EMX2OS
chr10	119305873	119306139	267	*	X029423	196047	119243804	119304579	60776	-	1293	upstream	1293	EMX2OS
chr10	119306473	119306652	180	*	X029424	196047	119243804	119304579	60776	-	1893	upstream	1893	EMX2OS
chr10	120355030	120355256	227	*	X029494	2834	120352916	120355160	2245	-	0	overlapStart	0	PRLHR
chr10	120355300	120355736	437	*	X029495	2834	120352916	120355160	2245	-	139	upstream	139	PRLHR
chr10	120355855	120356079	225	*	X029496	2834	120352916	120355160	2245	-	694	upstream	694	PRLHR
chr10	120356157	120356237	81	*	X029497	2834	120352916	120355160	2245	-	996	upstream	996	PRLHR
chr10	121717810	121717880	71	*	X029643	100616322	121718025	121718104	80	+	144	upstream	144	MIR4682
chr10	122215968	122216132	165	*	X029650	196051	122216466	122349367	132902	+	333	upstream	333	PLPP4
chr10	122216358	122216363	6	*	X029651	196051	122216466	122349367	132902	+	102	upstream	102	PLPP4
chr10	124218989	124219243	255	*	X029805	5654	124221041	124274424	53384	+	1797	upstream	1797	HTRA1
chr10	125426007	125426040	34	*	X029904	2849	125425871	125456913	31043	+	0	inside	135	GPR26
chr10	125699572	125699677	106	*	X029924	119587	125465726	125699779	234054	-	0	inside	101	CPXM2
chr10	125852671	125853229	559	*	X029979	51363	125767182	125853123	85942	-	0	overlapStart	0	CHST15
chr10	125853526	125853675	150	*	X029980	51363	125767182	125853123	85942	-	402	upstream	402	CHST15
chr10	127262002	127262411	410	*	X030160	100169752	127262940	127267014	4075	+	528	upstream	528	TEX36-AS1
chr10	127262847	127262951	105	*	X030161	100169752	127262940	127267014	4075	+	0	overlapStart	0	TEX36-AS1
chr10	131762943	131763190	248	*	X030523	253738	131633496	131762091	128596	-	851	upstream	851	EBF3
chr10	132761033	132761059	27	*	X030611	100422867	132760851	132760931	81	-	101	upstream	101	MIR378C
chr10	132762198	132762347	150	*	X030612	100422867	132760851	132760931	81	-	1266	upstream	1266	MIR378C
chr10	132762513	132762632	120	*	X030613	100422867	132760851	132760931	81	-	1581	upstream	1581	MIR378C
chr10	133916348	133916359	12	*	X030846	282973	133918313	133998313	80001	+	1953	upstream	1953	JAKMIP3
chr10	133917956	133918135	180	*	X030847	282973	133918313	133998313	80001	+	177	upstream	177	JAKMIP3
chr10	133998691	133998825	135	*	X030896	10570	134000414	134019280	18867	+	1588	upstream	1588	DPYSL4
chr10	133998911	133999100	190	*	X030897	10570	134000414	134019280	18867	+	1313	upstream	1313	DPYSL4
chr10	134756965	134757225	261	*	X031134	54777	134621896	134756089	134194	-	875	upstream	875	CFAP46
chr10	134757271	134757405	135	*	X031135	54777	134621896	134756089	134194	-	1181	upstream	1181	CFAP46
chr10	134757646	134757795	150	*	X031136	54777	134621896	134756089	134194	-	1556	upstream	1556	CFAP46
chr10	134757826	134757975	150	*	X031137	54777	134621896	134756089	134194	-	1736	upstream	1736	CFAP46
chr10	134776777	134777190	414	*	X031148	399829	134779038	134790001	10964	+	1847	upstream	1847	LINC01168
chr10	134777986	134778135	150	*	X031149	399829	134779038	134790001	10964	+	902	upstream	902	LINC01168
chr10	134778226	134778375	150	*	X031150	399829	134779038	134790001	10964	+	662	upstream	662	LINC01168
chr11	1036689	1036808	120	*	X031421	4588	1012824	1036706	23883	-	0	overlapStart	0	MUC6
chr11	1036839	1036973	135	*	X031422	4588	1012824	1036706	23883	-	132	upstream	132	MUC6
chr11	1037025	1037384	360	*	X031423	4588	1012824	1036706	23883	-	318	upstream	318	MUC6
chr11	1037475	1037560	86	*	X031424	4588	1012824	1036706	23883	-	768	upstream	768	MUC6
chr11	1038450	1038644	195	*	X031425	4588	1012824	1036706	23883	-	1743	upstream	1743	MUC6
chr11	1038660	1038672	13	*	X031426	4588	1012824	1036706	23883	-	1953	upstream	1953	MUC6
chr11	1073182	1073496	315	*	X031447	4583	1074875	1104417	29543	+	1378	upstream	1378	MUC2
chr11	1073587	1073721	135	*	X031448	4583	1074875	1104417	29543	+	1153	upstream	1153	MUC2
chr11	1073887	1074006	120	*	X031449	4583	1074875	1104417	29543	+	868	upstream	868	MUC2
chr11	1150525	1150579	55	*	X031514	727897	1151580	1283406	131827	+	1000	upstream	1000	MUC5B
chr11	1150745	1150909	165	*	X031515	727897	1151580	1283406	131827	+	670	upstream	670	MUC5B
chr11	1151855	1152103	249	*	X031516	727897	1151580	1283406	131827	+	0	inside	274	MUC5B
chr11	1409121	1409420	300	*	X031656	9024	1411129	1483919	72791	+	1708	upstream	1708	BRSK2
chr11	1409496	1409630	135	*	X031657	9024	1411129	1483919	72791	+	1498	upstream	1498	BRSK2
chr11	1409646	1409795	150	*	X031658	9024	1411129	1483919	72791	+	1333	upstream	1333	BRSK2
chr11	1409841	1409990	150	*	X031659	9024	1411129	1483919	72791	+	1138	upstream	1138	BRSK2
chr11	1410231	1410590	360	*	X031660	9024	1411129	1483919	72791	+	538	upstream	538	BRSK2
chr11	1410651	1410698	48	*	X031661	9024	1411129	1483919	72791	+	430	upstream	430	BRSK2
chr11	1591967	1592134	168	*	X031730	338651	1593971	1620414	26444	+	1836	upstream	1836	KRTAP5-AS1
chr11	1594590	1594621	32	*	X031731	1850	1575281	1593150	17870	-	1439	upstream	1439	DUSP8
chr11	1594697	1594846	150	*	X031732	1850	1575281	1593150	17870	-	1546	upstream	1546	DUSP8
chr11	1594868	1595347	480	*	X031733	1850	1575281	1593150	17870	-	1717	upstream	1717	DUSP8
chr11	1629178	1629552	375	*	X031745	387266	1628795	1629693	899	-	0	inside	140	KRTAP5-3
chr11	1650956	1650980	25	*	X031754	439915	1651033	1652159	1127	+	52	upstream	52	KRTAP5-5
chr11	1706567	1706627	61	*	X031795	100132464	1704500	1706859	2360	-	0	inside	231	FAM99B
chr11	1706673	1706792	120	*	X031796	100132464	1704500	1706859	2360	-	0	inside	66	FAM99B
chr11	1706823	1706987	165	*	X031797	100132464	1704500	1706859	2360	-	0	overlapStart	0	FAM99B
chr11	1707198	1707199	2	*	X031798	100132464	1704500	1706859	2360	-	338	upstream	338	FAM99B
chr11	1716598	1716717	120	*	X031811	440023	1718425	1718985	561	+	1707	upstream	1707	KRTAP5-6
chr11	1848056	1848179	124	*	X031871	90019	1848709	1858750	10042	+	529	upstream	529	SYT8
chr11	1848285	1848572	288	*	X031872	90019	1848709	1858750	10042	+	136	upstream	136	SYT8
chr11	1858473	1858667	195	*	X031887	7136	1860233	1862910	2678	+	1565	upstream	1565	TNNI2
chr11	1858797	1858972	176	*	X031888	7136	1860233	1862910	2678	+	1260	upstream	1260	TNNI2
chr11	1872058	1872222	165	*	X031908	4046	1874200	1913493	39294	+	1977	upstream	1977	LSP1
chr11	1872838	1873107	270	*	X031909	4046	1874200	1913493	39294	+	1092	upstream	1092	LSP1
chr11	1873111	1873305	195	*	X031910	4046	1874200	1913493	39294	+	894	upstream	894	LSP1
chr11	1873951	1874115	165	*	X031911	4046	1874200	1913493	39294	+	84	upstream	84	LSP1
chr11	1874260	1874349	90	*	X031912	4046	1874200	1913493	39294	+	0	inside	59	LSP1
chr11	1874380	1874889	510	*	X031913	4046	1874200	1913493	39294	+	0	inside	179	LSP1
chr11	1880716	1880793	78	*	X031924	100423021	1880694	1880766	73	-	0	overlapStart	0	MIR4298
chr11	1881127	1881180	54	*	X031925	100423021	1880694	1880766	73	-	360	upstream	360	MIR4298
chr11	1939104	1939487	384	*	X031972	7140	1940799	1959936	19138	+	1311	upstream	1311	TNNT3
chr11	1939863	1939997	135	*	X031973	7140	1940799	1959936	19138	+	801	upstream	801	TNNT3
chr11	1940343	1940392	50	*	X031974	7140	1940799	1959936	19138	+	406	upstream	406	TNNT3
chr11	1940613	1940678	66	*	X031975	7140	1940799	1959936	19138	+	120	upstream	120	TNNT3
chr11	1940739	1940858	120	*	X031976	7140	1940799	1959936	19138	+	0	overlapStart	0	TNNT3
chr11	2155337	2155621	285	*	X032065	619552	2155364	2155439	76	-	0	includeFeature	0	MIR483
chr11	2155673	2155951	279	*	X032066	619552	2155364	2155439	76	-	233	upstream	233	MIR483
chr11	2155997	2156116	120	*	X032067	619552	2155364	2155439	76	-	557	upstream	557	MIR483
chr11	2156237	2156371	135	*	X032068	619552	2155364	2155439	76	-	797	upstream	797	MIR483
chr11	2156738	2156872	135	*	X032069	619552	2155364	2155439	76	-	1298	upstream	1298	MIR483
chr11	2157107	2157376	270	*	X032070	619552	2155364	2155439	76	-	1667	upstream	1667	MIR483
chr11	2170607	2170756	150	*	X032088	3481	2150342	2170833	20492	-	0	inside	76	IGF2
chr11	2170896	2170924	29	*	X032089	3481	2150342	2170833	20492	-	62	upstream	62	IGF2
chr11	2192506	2192653	148	*	X032102	100616126	2194293	2194368	76	+	1639	upstream	1639	MIR4686
chr11	2192984	2193448	465	*	X032103	100616126	2194293	2194368	76	+	844	upstream	844	MIR4686
chr11	2192984	2193448	465	*	X032103	7054	2185159	2193035	7877	-	0	overlapStart	0	TH
chr11	2193637	2193707	71	*	X032104	100616126	2194293	2194368	76	+	585	upstream	585	MIR4686
chr11	2193637	2193707	71	*	X032104	7054	2185159	2193035	7877	-	601	upstream	601	TH
chr11	2193949	2194116	168	*	X032105	100616126	2194293	2194368	76	+	176	upstream	176	MIR4686
chr11	2193949	2194116	168	*	X032105	7054	2185159	2193035	7877	-	913	upstream	913	TH
chr11	2194342	2194941	600	*	X032106	100616126	2194293	2194368	76	+	0	overlapEnd	48	MIR4686
chr11	2194342	2194941	600	*	X032106	7054	2185159	2193035	7877	-	1306	upstream	1306	TH
chr11	2194987	2195286	300	*	X032107	7054	2185159	2193035	7877	-	1951	upstream	1951	TH
chr11	2291797	2292086	290	*	X032187	430	2289728	2292182	2455	-	0	inside	95	ASCL2
chr11	2292174	2292510	337	*	X032188	430	2289728	2292182	2455	-	0	overlapStart	0	ASCL2
chr11	2292846	2292876	31	*	X032189	430	2289728	2292182	2455	-	663	upstream	663	ASCL2
chr11	2293957	2294346	390	*	X032190	430	2289728	2292182	2455	-	1774	upstream	1774	ASCL2
chr11	2444210	2444494	285	*	X032256	29850	2425746	2444275	18530	-	0	overlapStart	0	TRPM5
chr11	2444585	2444734	150	*	X032257	29850	2425746	2444275	18530	-	309	upstream	309	TRPM5
chr11	2444780	2445154	375	*	X032258	29850	2425746	2444275	18530	-	504	upstream	504	TRPM5
chr11	2445215	2445334	120	*	X032259	29850	2425746	2444275	18530	-	939	upstream	939	TRPM5
chr11	2445531	2445620	90	*	X032260	29850	2425746	2444275	18530	-	1255	upstream	1255	TRPM5
chr11	2445809	2445928	120	*	X032261	29850	2425746	2444275	18530	-	1533	upstream	1533	TRPM5
chr11	2445980	2446129	150	*	X032262	29850	2425746	2444275	18530	-	1704	upstream	1704	TRPM5
chr11	4598715	4598834	120	*	X032535	143501	4592653	4599050	6398	-	0	inside	215	C11orf40
chr11	4663466	4663571	106	*	X032537	143503	4665156	4676716	11561	+	1584	upstream	1584	OR51E1
chr11	4664862	4664981	120	*	X032538	143503	4665156	4676716	11561	+	174	upstream	174	OR51E1
chr11	5537646	5537679	34	*	X032548	143630	5535623	5537956	2334	-	0	inside	276	UBQLNL
chr11	5959855	5959974	120	*	X032560	85363	5684425	5959849	275425	-	5	upstream	5	TRIM5
chr11	6220365	6220459	95	*	X032566	120787	6220454	6221416	963	+	0	overlapStart	0	OR52W1
chr11	6279331	6279450	120	*	X032575	887	6280904	6293357	12454	+	1453	upstream	1453	CCKBR
chr11	6279661	6279765	105	*	X032576	887	6280904	6293357	12454	+	1138	upstream	1138	CCKBR
chr11	6279871	6280035	165	*	X032577	887	6280904	6293357	12454	+	868	upstream	868	CCKBR
chr11	6280078	6280380	303	*	X032578	887	6280904	6293357	12454	+	523	upstream	523	CCKBR
chr11	6280576	6280909	334	*	X032579	887	6280904	6293357	12454	+	0	overlapStart	0	CCKBR
chr11	6281155	6281595	441	*	X032580	887	6280904	6293357	12454	+	0	inside	250	CCKBR
chr11	6341799	6341985	187	*	X032597	112464	6340176	6341740	1565	-	58	upstream	58	CAVIN3
chr11	6442471	6442605	135	*	X032616	322	6416355	6440644	24290	-	1826	upstream	1826	APBB1
chr11	6791079	6791213	135	*	X032623	338755	6789238	6790188	951	-	890	upstream	890	OR2AG2
chr11	7506527	7506916	390	*	X032631	283298	7506600	7532606	26007	+	0	overlapStart	0	OLFML1
chr11	7695356	7695440	85	*	X032675	51700	7686326	7694994	8669	-	361	upstream	361	CYB5R2
chr11	7695521	7695625	105	*	X032676	51700	7686326	7694994	8669	-	526	upstream	526	CYB5R2
chr11	7695866	7695985	120	*	X032677	51700	7686326	7694994	8669	-	871	upstream	871	CYB5R2
chr11	8038904	8039008	105	*	X032683	7275	8040791	8127654	86864	+	1782	upstream	1782	TUB
chr11	8039639	8039774	136	*	X032684	7275	8040791	8127654	86864	+	1016	upstream	1016	TUB
chr11	8040193	8040508	316	*	X032685	7275	8040791	8127654	86864	+	282	upstream	282	TUB
chr11	8040988	8041115	128	*	X032686	7275	8040791	8127654	86864	+	0	inside	196	TUB
chr11	8190180	8190329	150	*	X032743	79608	8127597	8190590	62994	-	0	inside	260	RIC3
chr11	8190645	8190929	285	*	X032744	79608	8127597	8190590	62994	-	54	upstream	54	RIC3
chr11	8290146	8290191	46	*	X032796	4004	8245851	8290182	44332	-	0	overlapStart	0	LMO1
chr11	8290278	8290442	165	*	X032797	4004	8245851	8290182	44332	-	95	upstream	95	LMO1
chr11	8290639	8290878	240	*	X032798	4004	8245851	8290182	44332	-	456	upstream	456	LMO1
chr11	8290998	8291095	98	*	X032799	4004	8245851	8290182	44332	-	815	upstream	815	LMO1
chr11	8615471	8615620	150	*	X032864	65975	8413418	8615775	202358	-	0	inside	154	STK33
chr11	8615745	8615849	105	*	X032865	65975	8413418	8615775	202358	-	0	overlapStart	0	STK33
chr11	8616075	8616209	135	*	X032866	65975	8413418	8615775	202358	-	299	upstream	299	STK33
chr11	9112161	9112301	141	*	X032982	100847015	9111859	9111926	68	-	234	upstream	234	MIR5691
chr11	9112407	9112616	210	*	X032983	100847015	9111859	9111926	68	-	480	upstream	480	MIR5691
chr11	9112752	9112975	224	*	X032984	100847015	9111859	9111926	68	-	825	upstream	825	MIR5691
chr11	9112752	9112975	224	*	X032984	57758	9041047	9113150	72104	-	0	inside	174	SCUBE2
chr11	9113312	9113456	145	*	X032985	100847015	9111859	9111926	68	-	1385	upstream	1385	MIR5691
chr11	9113312	9113456	145	*	X032985	57758	9041047	9113150	72104	-	161	upstream	161	SCUBE2
chr11	9113578	9113771	194	*	X032986	100847015	9111859	9111926	68	-	1651	upstream	1651	MIR5691
chr11	9113578	9113771	194	*	X032986	57758	9041047	9113150	72104	-	427	upstream	427	SCUBE2
chr11	9114312	9114431	120	*	X032987	57758	9041047	9113150	72104	-	1161	upstream	1161	SCUBE2
chr11	9114312	9114431	120	*	X032987	283102	9115910	9117737	1828	+	1478	upstream	1478	KRT8P41
chr11	9114477	9114611	135	*	X032988	57758	9041047	9113150	72104	-	1326	upstream	1326	SCUBE2
chr11	9114477	9114611	135	*	X032988	283102	9115910	9117737	1828	+	1298	upstream	1298	KRT8P41
chr11	9115302	9115436	135	*	X032989	283102	9115910	9117737	1828	+	473	upstream	473	KRT8P41
chr11	9115497	9115646	150	*	X032990	283102	9115910	9117737	1828	+	263	upstream	263	KRT8P41
chr11	9115872	9116036	165	*	X032991	283102	9115910	9117737	1828	+	0	overlapStart	0	KRT8P41
chr11	10324742	10324861	120	*	X032999	133	10326642	10328923	2282	+	1780	upstream	1780	ADM
chr11	10326032	10326151	120	*	X033000	133	10326642	10328923	2282	+	490	upstream	490	ADM
chr11	12031014	12031126	113	*	X033175	27122	11984543	12031316	46774	-	0	inside	189	DKK3
chr11	12398779	12399275	497	*	X033187	55742	12399026	12556903	157878	+	0	overlapStart	0	PARVA
chr11	13298100	13298219	120	*	X033274	406	13299325	13408812	109488	+	1105	upstream	1105	ARNTL
chr11	13298796	13299043	248	*	X033275	406	13299325	13408812	109488	+	281	upstream	281	ARNTL
chr11	13299582	13299689	108	*	X033276	406	13299325	13408812	109488	+	0	inside	256	ARNTL
chr11	13983046	13983210	165	*	X033323	10418	13984184	14289679	305496	+	973	upstream	973	SPON1
chr11	13984114	13984248	135	*	X033324	10418	13984184	14289679	305496	+	0	overlapStart	0	SPON1
chr11	14993695	14994231	537	*	X033373	796	14988215	14993832	5618	-	0	overlapStart	0	CALCA
chr11	14994697	14995041	345	*	X033374	796	14988215	14993832	5618	-	864	upstream	864	CALCA
chr11	14995660	14995884	225	*	X033375	796	14988215	14993832	5618	-	1827	upstream	1827	CALCA
chr11	15093293	15093427	135	*	X033377	797	15095146	15103888	8743	+	1718	upstream	1718	CALCB
chr11	15093904	15094083	180	*	X033378	797	15095146	15103888	8743	+	1062	upstream	1062	CALCB
chr11	15094189	15094488	300	*	X033379	797	15095146	15103888	8743	+	657	upstream	657	CALCB
chr11	15094553	15094639	87	*	X033380	797	15095146	15103888	8743	+	506	upstream	506	CALCB
chr11	15095003	15095092	90	*	X033381	797	15095146	15103888	8743	+	53	upstream	53	CALCB
chr11	15133774	15133998	225	*	X033382	387755	15133970	15268756	134787	+	0	overlapStart	0	INSC
chr11	15134074	15134140	67	*	X033383	387755	15133970	15268756	134787	+	0	inside	103	INSC
chr11	17036295	17036424	130	*	X033521	144100	16800548	17035963	235416	-	331	upstream	331	PLEKHA7
chr11	17036785	17036904	120	*	X033522	144100	16800548	17035963	235416	-	821	upstream	821	PLEKHA7
chr11	17037069	17037293	225	*	X033523	144100	16800548	17035963	235416	-	1105	upstream	1105	PLEKHA7
chr11	17037639	17037863	225	*	X033524	144100	16800548	17035963	235416	-	1675	upstream	1675	PLEKHA7
chr11	17073671	17073775	105	*	X033529	10819	17073433	17074591	1159	+	0	inside	237	OR7E14P
chr11	17412294	17412413	120	*	X033530	3767	17406796	17410878	4083	-	1415	upstream	1415	KCNJ11
chr11	17412504	17412638	135	*	X033531	3767	17406796	17410878	4083	-	1625	upstream	1625	KCNJ11
chr11	17497962	17498171	210	*	X033582	6833	17414432	17498449	84018	-	0	inside	277	ABCC8
chr11	17498307	17498374	68	*	X033583	6833	17414432	17498449	84018	-	0	inside	74	ABCC8
chr11	17498719	17499011	293	*	X033584	6833	17414432	17498449	84018	-	269	upstream	269	ABCC8
chr11	17499050	17499184	135	*	X033585	6833	17414432	17498449	84018	-	600	upstream	600	ABCC8
chr11	17565530	17565831	302	*	X033648	10083	17515442	17565963	50522	-	0	inside	131	USH1C
chr11	17568747	17568911	165	*	X033649	340990	17568920	17667491	98572	+	8	upstream	8	OTOG
chr11	17569002	17569579	578	*	X033650	340990	17568920	17667491	98572	+	0	inside	81	OTOG
chr11	17755350	17755499	150	*	X033742	3746	17757495	17804602	47108	+	1995	upstream	1995	KCNC1
chr11	17755742	17755876	135	*	X033743	3746	17757495	17804602	47108	+	1618	upstream	1618	KCNC1
chr11	17755997	17756153	157	*	X033744	3746	17757495	17804602	47108	+	1341	upstream	1341	KCNC1
chr11	18138160	18138279	120	*	X033805	6290	18134019	18137679	3661	-	480	upstream	480	SAA3P
chr11	18230596	18230760	165	*	X033811	494141	18230685	18235111	4427	+	0	overlapStart	0	SLC25A51P4
chr11	18230806	18230970	165	*	X033812	494141	18230685	18235111	4427	+	0	inside	120	SLC25A51P4
chr11	18270882	18271061	180	*	X033815	100528017	18252902	18270221	17320	-	660	upstream	660	SAA2-SAA4
chr11	18270882	18271061	180	*	X033815	6289	18259780	18270221	10442	-	660	upstream	660	SAA2
chr11	18286719	18286840	122	*	X033821	6288	18287808	18291523	3716	+	967	upstream	967	SAA1
chr11	18813708	18814036	329	*	X033896	84867	18749475	18814268	64794	-	0	inside	231	PTPN5
chr11	18814202	18814336	135	*	X033897	84867	18749475	18814268	64794	-	0	overlapStart	0	PTPN5
chr11	18815598	18815732	135	*	X033898	84867	18749475	18814268	64794	-	1329	upstream	1329	PTPN5
chr11	19233261	19233299	39	*	X033922	8048	19203577	19232118	28542	-	1142	upstream	1142	CSRP3
chr11	19371255	19371389	135	*	X033937	89797	19372271	20143147	770877	+	881	upstream	881	NAV2
chr11	19736050	19736093	44	*	X033988	100126784	19732480	19736218	3739	-	0	inside	124	NAV2-AS6
chr11	19736235	19736349	115	*	X033989	100126784	19732480	19736218	3739	-	16	upstream	16	NAV2-AS6
chr11	19736485	19736634	150	*	X033990	100126784	19732480	19736218	3739	-	266	upstream	266	NAV2-AS6
chr11	19736980	19737114	135	*	X033991	100126784	19732480	19736218	3739	-	761	upstream	761	NAV2-AS6
chr11	20181660	20181889	230	*	X034054	120237	20177760	20181870	4111	-	0	overlapStart	0	DBX1
chr11	20181956	20181989	34	*	X034055	120237	20177760	20181870	4111	-	85	upstream	85	DBX1
